epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1484.54,0.88512,0.41647,0.78813,0.85475,0.74692,0.79806,0.5505,0.81871,0.41855,0.78813,0.000742625,0.000742625,0.000742625
43,1515.48,0.84144,0.39148,0.78644,0.95174,0.715,0.80155,0.56959,0.76039,0.39116,0.78504,0.00073025,0.00073025,0.00073025
44,1545.92,0.80499,0.37908,0.78751,0.95457,0.75008,0.82582,0.56506,0.78111,0.40053,0.78674,0.000717875,0.000717875,0.000717875
45,1576.58,0.81546,0.38077,0.78415,0.88074,0.76427,0.81774,0.5767,0.79316,0.39411,0.78868,0.0007055,0.0007055,0.0007055
46,1619.74,0.81341,0.38351,0.78422,0.8437,0.75271,0.80015,0.56526,0.78591,0.40295,0.78511,0.000693125,0.000693125,0.000693125
47,1656.89,0.83205,0.39776,0.7841,0.9066,0.71379,0.8154,0.55502,0.81798,0.4179,0.78741,0.00068075,0.00068075,0.00068075
48,1693.36,0.82076,0.38937,0.78639,0.91,0.7186,0.80823,0.55881,0.81484,0.4089,0.78973,0.000668375,0.000668375,0.000668375
49,1730.31,0.80009,0.38297,0.7832,0.91496,0.73517,0.8172,0.5607,0.81795,0.41718,0.78853,0.000656,0.000656,0.000656
50,1760.82,0.81473,0.38426,0.78608,0.95445,0.7214,0.8027,0.57456,0.74969,0.39722,0.78515,0.000643625,0.000643625,0.000643625
51,1791.66,0.7947,0.37491,0.78363,0.91112,0.76793,0.82437,0.56799,0.76624,0.3909,0.78482,0.00063125,0.00063125,0.00063125
52,1822.04,0.80004,0.37684,0.78221,0.90861,0.73701,0.80796,0.56835,0.76426,0.3972,0.78456,0.000618875,0.000618875,0.000618875
53,1852.7,0.79101,0.36946,0.78288,0.88881,0.7546,0.80149,0.56951,0.78462,0.39462,0.78641,0.0006065,0.0006065,0.0006065
54,1883.34,0.78268,0.3658,0.78212,0.89105,0.73834,0.80403,0.57189,0.76509,0.3818,0.78643,0.000594125,0.000594125,0.000594125
55,1919.07,0.79729,0.37229,0.78285,0.91863,0.71903,0.80234,0.57249,0.73538,0.38235,0.78301,0.00058175,0.00058175,0.00058175
56,1953.7,0.77004,0.35997,0.78154,0.836,0.74256,0.80305,0.55835,0.75186,0.37922,0.78505,0.000569375,0.000569375,0.000569375
57,1990.5,0.75196,0.35489,0.78182,0.93483,0.73417,0.82185,0.58026,0.75392,0.38252,0.78362,0.000557,0.000557,0.000557
58,2028.34,0.77955,0.36611,0.78477,0.95278,0.7186,0.80444,0.56478,0.79807,0.40307,0.78624,0.000544625,0.000544625,0.000544625
59,2058.74,0.76241,0.36386,0.78164,0.89996,0.75305,0.8109,0.56309,0.77793,0.40887,0.78598,0.00053225,0.00053225,0.00053225
60,2094.88,0.75717,0.35613,0.77952,0.82819,0.72159,0.79143,0.55687,0.76413,0.39338,0.78463,0.000519875,0.000519875,0.000519875
61,2125.48,0.75615,0.35302,0.77929,0.84602,0.74182,0.80374,0.56811,0.78214,0.39031,0.78652,0.0005075,0.0005075,0.0005075
62,2160.92,0.75007,0.35438,0.78217,0.85387,0.75901,0.80618,0.58341,0.76259,0.41234,0.78512,0.000495125,0.000495125,0.000495125
63,2198.73,0.75728,0.36194,0.78192,0.93617,0.72576,0.81524,0.5643,0.80629,0.39583,0.78606,0.00048275,0.00048275,0.00048275
64,2236.46,0.79723,0.37196,0.78233,0.91732,0.73345,0.80886,0.5576,0.76748,0.37969,0.78591,0.000470375,0.000470375,0.000470375
65,2267.3,0.7408,0.35023,0.77993,0.93938,0.73771,0.80847,0.5778,0.76216,0.38634,0.78488,0.000458,0.000458,0.000458
66,2297.7,0.73264,0.34313,0.77811,0.91151,0.7608,0.81446,0.5763,0.78017,0.39483,0.7857,0.000445625,0.000445625,0.000445625
67,2328.24,0.75187,0.34956,0.78082,0.92335,0.73388,0.82083,0.58456,0.77806,0.38108,0.78573,0.00043325,0.00043325,0.00043325
68,2371.68,0.72633,0.33925,0.77935,0.95594,0.76115,0.82428,0.60216,0.73867,0.37689,0.7836,0.000420875,0.000420875,0.000420875
69,2414.04,0.72856,0.34047,0.77826,0.87396,0.76357,0.80522,0.57573,0.74405,0.37003,0.78332,0.0004085,0.0004085,0.0004085
70,2449.68,0.72982,0.34213,0.77767,0.9259,0.7588,0.82525,0.60041,0.72918,0.36023,0.78386,0.000396125,0.000396125,0.000396125
71,2481.15,0.71405,0.33539,0.77944,0.93064,0.73379,0.81008,0.57683,0.74815,0.37442,0.78437,0.00038375,0.00038375,0.00038375
72,2511.55,0.71671,0.33847,0.77951,0.96538,0.7276,0.82745,0.57509,0.75944,0.37464,0.78475,0.000371375,0.000371375,0.000371375
73,2547.77,0.74442,0.34749,0.78104,0.96516,0.72679,0.82387,0.58001,0.74583,0.369,0.78387,0.000359,0.000359,0.000359
74,2578.38,0.71382,0.34023,0.77803,0.96814,0.72926,0.83165,0.59086,0.75427,0.38451,0.78397,0.000346625,0.000346625,0.000346625
75,2615.35,0.71431,0.3355,0.77933,0.93224,0.75449,0.82125,0.60422,0.7564,0.37573,0.78458,0.00033425,0.00033425,0.00033425
